"","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Il"
"1",0,0,0,0,0,0,0,0,0,0,0,0,"Adana"
"2",0,7.91139240506329e-05,0.00345464135021097,0,0,0,0,0,0,0,0,0,"Adiyaman"
"3",0,0,0,0,0,0,0,0,0,0,0,0,"Afyonkarahisar"
"4",0,0.0244465792646172,0,0,0,0,0,0,0,0,0,0,"Agri"
"5",0.0553006329113924,0.00263713080168776,0.000870253164556962,0,0.00543248945147679,0.000685654008438818,0.00354694092827004,0.000316455696202532,0,0,0.000158227848101266,0,"Aksaray"
"6",0,0,0,0,0.00973101265822785,0,0,0,0,0,0,0,"Amasya"
"7",0,0,0,0,0,0,0,0,0,0,0,0,"Ankara"
"8",0,0,0,0,0,0,0,0,0,0,0,0,"Antalya"
"9",0.119667721518987,0.265511980108499,0.254525316455696,0.0994198312236287,0.118545810729355,0.116587552742616,0.267761075949367,0.12398470464135,0.111735232067511,0.208008966244726,0.137618670886076,0.17289029535865,"Ardahan"
"10",0.0429746835443038,0.0317695147679325,0.0235363924050633,0.00800369198312236,0.0035337552742616,0.0181962025316456,0.0117985232067511,0.0029535864978903,0.0897943037974683,0.00110759493670886,0.00174050632911392,0.0111286919831224,"Artvin"
"11",0,0,0,0,0,0,0,0,0,0,0,0,"Aydin"
"12",0,0,0,0,0,0,0,0,0,0,0,0,"Balikesir"
"13",0.169997362869198,0.193415461121157,0.16232858649789,0.31275052742616,0.166165988547318,0.246677215189873,0.146648206751055,0.139517405063291,0.105181962025316,0.132159810126582,0.247349683544304,0.149314345991561,"Bartin"
"14",0.0109309071729958,0,0.000427215189873418,0,0,0,0,0,0,0,0,0,"Batman"
"15",0.234535864978903,0.308607594936709,0.188130274261603,0.316983122362869,0.345317209162146,0.112407700421941,0.228902953586498,0.194092827004219,0.121848628691983,0.0994804852320675,0.0268723628691983,0.04375,"Bayburt"
"16",0,0,0.0035337552742616,0.000131856540084388,0.00232067510548523,0.00756856540084388,0.000158227848101266,0.0407964135021097,0.00915084388185654,0.00683016877637131,0.00411392405063291,0.039003164556962,"Bilecik"
"17",0.000395569620253165,5.27426160337553e-05,0.0389398734177215,5.27426160337553e-05,0.000474683544303797,0.00110759493670886,0.000237341772151899,0,9.22995780590717e-05,0,0.000817510548523207,0.00537974683544304,"Bingol"
"18",0,0,0,0,0,0,0,0,0,0,0,0,"Bitlis"
"19",0,0,0,0,0,0,0,0,0,0.00487869198312236,0,0,"Bolu"
"20",0.025,0.0283860759493671,0.025,0.0257647679324895,0.0244462025316456,0.0125,0.0177742616033755,0,0.0223101265822785,0,0.0032964135021097,0.00468090717299578,"Burdur"
"21",0,0,0,0,0,0,0,0,0,0,0,0,"Bursa"
"22",0,0,0,0,0,0,0,0,0,0,0,0,"Canakkale"
"23",0.00816191983122363,0,0.00143723628691983,0.0116033755274262,0.0522166968053044,0.00329641350210971,0.047837552742616,0.00944092827004219,0.0227716244725738,0.0133570675105485,0.0235759493670886,0.0182225738396624,"Cankiri"
"24",0,0,0,0,0,0,0,0,0,0,0,0,"Corum"
"25",0,0,0,0,0,0,0,0,0,0,0,0,"Denizli"
"26",0,0,0,0,0,0,0,0,0,0,0,0,"Diyarbakir"
"27",0,0.0015295358649789,0.00543248945147679,0.00640822784810127,0.0185522151898734,0.00142405063291139,0.00306962025316456,0.0210970464135021,0,0,0.00279535864978903,0,"Duzce"
"28",0,0,0,0,0,0,0,0.000158227848101266,0.00787183544303797,0.000632911392405063,0.000316455696202532,0,"Edirne"
"29",0,0,0,0,0,0,0,0,0,0,0,0,"Elazig"
"30",0,0,0,0,0,0,0,0,0,0,0,0,"Erzincan"
"31",0,0,0,0,0,0,0,0,0,0,0,0,"Erzurum"
"32",0,0,0,0,0,0,0,0,0,0,0,0,"Eskisehir"
"33",0,0,0,0,0,0,0,0,0,0,0,0,"Gaziantep"
"34",0,0,0,0,0,0,0,0,0,0,0,0,"Giresun"
"35",0.0636181434599156,0.0698937613019891,0.0384520042194093,0.0524920886075949,0.00348101265822785,5.27426160337553e-05,0.00791139240506329,0,0,0,0.00110759493670886,0.00110759493670886,"Gumushane"
"36",0.0379430379746835,0.0630564345991561,0.00274261603375527,0.000158227848101266,0.000474683544303797,0,0.00772679324894515,0.00044831223628692,0,0.00743670886075949,0.00118670886075949,0.000158227848101266,"Hakkari"
"37",0,0,0,0,0,0,0,0,0,0,0,0,"Hatay"
"38",0.0795675105485232,0.00387394514767932,0.0127373417721519,0.000237341772151899,0.0925267480409885,0.00251845991561181,0.00638185654008439,0.0340981012658228,0.0136075949367089,0.00270305907172996,0.00123945147679325,0.0204377637130802,"Igdir"
"39",0,0,0,0,0,0,0,0,0,0,0,0,"Isparta"
"40",0,0,0,0,0,0,0,0,0,0,0,0,"Istanbul"
"41",0,0,0,0,0,0,0,0,0,0,0,0,"Izmir"
"42",0,0,0,0,0,0,0,0,0,0,0,0,"Kahramanmaras"
"43",0.0308465189873418,0.0152979957805907,0.007542194092827,0.00329641350210971,0,0.00572257383966245,0.00321729957805907,0,0,0,0.00150316455696203,0.000316455696202532,"Karabuk"
"44",0.0260680379746835,0.0349182489451477,0.0323681434599156,0.00474683544303797,0.0431566455696202,0.0177215189873418,0.00886075949367089,0.0089662447257384,0.0396228902953586,0.060126582278481,0.0265559071729958,0.0321993670886076,"Karaman"
"45",0,0,0,0,0,0,0,0,0,0,0,0,"Kars"
"46",0,0,0,0,0,0,0,0,0,0,0,0,"Kastamonu"
"47",0,0,0,0,0,0,0,0,0,0,0,0,"Kayseri"
"48",0.67057753164557,0.59398018384569,0.609251054852321,0.659216772151899,0.598874698613623,0.731579641350211,0.561054852320675,0.679245780590717,0.552439345991561,0.563072257383966,0.624314345991561,0.546571729957806,"Kilis"
"49",0,0,0,5.27426160337553e-05,0.00172732067510549,0,0,0,0.000316455696202532,7.91139240506329e-05,0,0,"Kirikkale"
"50",0,0,0,0,0,0,0.000237341772151899,0.00089662447257384,0,0.000712025316455696,0.00110759493670886,0,"Kirklareli"
"51",0.00254483122362869,0,0.00242616033755274,0.0133570675105485,0.0146360759493671,7.91139240506329e-05,0.00316455696202532,0,0,0.00759493670886076,0.00292721518987342,0.000474683544303797,"Kirsehir"
"52",0,0,0,0,0,0,0,0,0,0,0,0,"Kocaeli"
"53",0,0,0,0,0,0,0,0,0,0,0,0,"Konya"
"54",0,0,0,0,0,0,0,0,0,0,0,0,"Kutahya"
"55",0,0,0,0,0,0,0,0,0,0,0,0,"Malatya"
"56",0,0,0,0,0,0,0,0,0,0,0,0,"Manisa"
"57",0.00541930379746835,0,0,0,0,0,0,0,0,0,0,0,"Mardin"
"58",0,0,0,0,0,0,0,0,0,0,0,0,"Mersin"
"59",0,0,0,0,0,0,0,0,0,0,0,0,"Mugla"
"60",0.00467035864978903,0,0.000237341772151899,0,0,0,0,0.000949367088607595,0,0,0,0,"Mus"
