"","Il","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Adana-1",0.596153846153846,0.596153846153846,0.472222222222222,0.472222222222222,0.472222222222222,0.472222222222222,0.472222222222222,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.2
"2","Adiyaman-2",0.428571428571429,0.428571428571429,0.5,0.5,0.5,0.5,0.5,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.434782608695652
"3","Afyonkarahisar-3",0.592592592592593,0.592592592592593,0.514018691588785,0.514018691588785,0.514018691588785,0.514018691588785,0.514018691588785,0.637931034482759,0.637931034482759,0.637931034482759,0.637931034482759,0.637931034482759,0.576271186440678
"4","Agri-4",0.416666666666667,0.416666666666667,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333
"5","Aksaray-68",0.645833333333333,0.645833333333333,0.630434782608696,0.630434782608696,0.630434782608696,0.630434782608696,0.630434782608696,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.590909090909091
"6","Amasya-5",0.586206896551724,0.586206896551724,0.518518518518518,0.518518518518518,0.518518518518518,0.518518518518518,0.518518518518518,0.625,0.625,0.625,0.625,0.625,0.375
"7","Ankara-6",0.681818181818182,0.681818181818182,0.577777777777778,0.577777777777778,0.577777777777778,0.577777777777778,0.577777777777778,0.8,0.8,0.8,0.8,0.8,0.76
"8","Antalya-7",0.441176470588235,0.441176470588235,0.376344086021505,0.376344086021505,0.376344086021505,0.376344086021505,0.376344086021505,0.526315789473684,0.526315789473684,0.526315789473684,0.526315789473684,0.526315789473684,0.315789473684211
"9","Ardahan-75",0.333333333333333,0.333333333333333,0.375,0.375,0.375,0.375,0.375,0.5,0.5,0.5,0.5,0.5,0.571428571428571
"10","Artvin-8",0.166666666666667,0.166666666666667,0.25,0.25,0.25,0.25,0.25,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.222222222222222
"11","Aydin-9",0.296296296296296,0.296296296296296,0.320754716981132,0.320754716981132,0.320754716981132,0.320754716981132,0.320754716981132,0.235294117647059,0.235294117647059,0.235294117647059,0.235294117647059,0.235294117647059,0.294117647058824
"12","Balikesir-10",0.566037735849057,0.566037735849057,0.415094339622642,0.415094339622642,0.415094339622642,0.415094339622642,0.415094339622642,0.7,0.7,0.7,0.7,0.7,0.5
"13","Bartin-74",0.444444444444444,0.444444444444444,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.625,0.625,0.625,0.625,0.625,0.5
"14","Batman-72",0.333333333333333,0.333333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.454545454545455
"15","Bayburt-69",0.888888888888889,0.888888888888889,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.8,0.8,0.8,0.8,0.8,0.4
"16","Bilecik-11",0.533333333333333,0.533333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.545454545454545,0.545454545454545,0.545454545454545,0.545454545454545,0.545454545454545,0.363636363636364
"17","Bingöl-12",0.692307692307692,0.692307692307692,0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.818181818181818
"18","Bitlis-13",0.8,0.8,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.384615384615385,0.384615384615385,0.384615384615385,0.384615384615385,0.384615384615385,0.769230769230769
"19","Bolu-14",0.769230769230769,0.769230769230769,0.692307692307692,0.692307692307692,0.692307692307692,0.692307692307692,0.692307692307692,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.416666666666667
"20","Burdur-15",0.666666666666667,0.666666666666667,0.517241379310345,0.517241379310345,0.517241379310345,0.517241379310345,0.517241379310345,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.4
"21","Bursa-16",0.555555555555556,0.555555555555556,0.648648648648649,0.648648648648649,0.648648648648649,0.648648648648649,0.648648648648649,0.882352941176471,0.882352941176471,0.882352941176471,0.882352941176471,0.882352941176471,0.764705882352941
"22","Çanakkale-17",0.411764705882353,0.411764705882353,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.434782608695652
"23","Çankiri-18",0.580645161290323,0.580645161290323,0.451612903225806,0.451612903225806,0.451612903225806,0.451612903225806,0.451612903225806,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333
