Kurd0813
plaka;Kurd13;Kurd08
Adana;.2300264;.1337092
Adiyaman;.1477889;.7021079
Afyon;0;.0183282
Agri;.8285;.8410693
Aksaray;0;0
Amasya;.0325199;0
Ankara;.0346092;.0043219
Antalya;.0838947;.0540575
Ardahan;.1960142;.8333333
Artvin;.0604312;0
Aydin;.1457095;.319752
Balikesir;.0251873;.0057806
Bartin;0;0
Batman;.7873435;.7329636
Bayburt;0;.0562173
Bilecik;.0983718;.1023322
Bingol;.8828349;.9526038
Bitlis;.8042073;.8804075
Bolu;0;.0316947
Burdur;.2236941;0
Bursa;.0162844;.0679227
Canakkale;0;.0224204
Cankiri;.0284508;0
Corum;0;0
Denizli;.0366248;.0317396
Diyarbakir;.8380178;.8648177
Duzce;.1170486;.125
Edirne;0;0
Elazig;.2794331;.4783816
Erzincan;.2303361;.2588485
Erzurum;.3222708;.1008578
Eskisehir;.0572771;.0176164
Gaziantep;.1315124;.2556847
Giresun;.0120643;0
Gumushane;.0188403;0
Hakkari;.5637043;.856492
Hatay;.0263801;.0140215
Icel;.278687;.1496577
Igdir;.3795515;.6160181
Isparta;0;0
Istanbul;.1438482;.10784
Izmir;.0513798;.0519605
K. Maras;.0585741;.0473108
Karabuk;.0132127;0
Karaman;0;0
Kars;.7140417;.6515945
Kastamonu;0;0
Kayseri;.047149;.015109
Kilis;.115172;.125
Kirikkale;.0430733;0
Kirklareli;.0406102;.0216613
Kirsehir;.0229047;0
Kocaeli;.3377861;.0369955
Konya;.1200327;.0503299
Kutahya;0;0
Malatya;.0995632;.3792555
Manisa;.0426277;.0544364
Mardin;.7133799;.7441578
Mugla;0;.0304448
Mus;.6795464;.8758693
Nevsehir;.0271666;.0153666
Nigde;.0489487;0
Ordu;0;.0053319
Osmaniye;0;.165436
Rize;.0069132;0
Sakarya;0;.0157182
Samsun;.0027322;.0042057
Sanliurfa;.6020799;.602559
Siirt;.9120132;1
Sinop;0;0
Sirnak;.984493;1
Sivas;.0573641;0
Tekirdag;.0686399;.026173
Tokat;.0216932;0
Trabzon;0;.006646
Tunceli;0;.875
Usak;0;0
Van;.9334927;.7720453
Yalova;0;.1666667
Yozgat;.0151561;.0132806
Zonguldak;0;0
